id,name,brand,category,variant,review_scope,queries,sources,result,unapproved_candidates
big-city-display,Big City Display,Black Cat,Assortments,ATBCITY,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Big City Display Black Cat ATBCITY fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/big-city-display/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
big-and-bad-rockets,Big and Bad,Black Cat,Rockets,6 rockets,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Big and Bad Black Cat ARBC476 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/big-and-bad/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-four-assorted-6-inch,Four Assorted 6-inch Fountains,Black Cat,Fountains,6-inch fountains · 4-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Four Assorted 6-inch Fountains Black Cat FNBC2001-17 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/6-inch-four-assorted/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
cat-eyes-3-pack,Cat Eyes,Black Cat,Spinners,3 spinners,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Cat Eyes Black Cat  fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/cat-eyes/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
little-dynamite-100,Little Dynamite,Black Cat,Firecrackers,100 firecrackers,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Little Dynamite Black Cat FCBC105 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/little-dynamite/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
3-for-1-fountains,3 For 1!,Black Cat,Fountains,3 fountains,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,2026-09-25: Black Cat 3 for 1 fountains 3 pack demo,https://www.wincofireworks.com/product/3-for-1/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Videos candidatos encontrados; nombres del surtido y edición exacta pendientes de revisión visual.,https://www.youtube.com/watch?v=QuAh33cHFVk | https://www.youtube.com/watch?v=JLJ6jZ5Yd2M
camo-smoke,Camo Smoke,Unconfirmed,Smoke,Single smoke tube,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Camo Smoke  SMM100 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/camo-smoke/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
confetti-blaster-24-inch,Confetti Blaster,Unconfirmed,Novelties,24-inch confetti blaster,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Confetti Blaster  NV1741 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/confetti-blasters-24/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
cracker-balls-6-pack,Cracker Balls,Black Cat,Novelties,6-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Cracker Balls Black Cat NVBC340 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/cracker-balls/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
jr-pyro-backpack-black-cat,Jr. Pyro Backpack,Black Cat,Assortments,Backpack assortment,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Jr. Pyro Backpack Black Cat ATBC089-12 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/jr-pyro-backpack/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
jumbo-assorted-candles-4-pack,Jumbo Assorted Candles,Unconfirmed,Roman Candles,4 candles · 8 shots per candle,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Jumbo Assorted Candles  RCLR3128A fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/jumbo-assorted-candles/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
texas-bandit-rockets,Texas Bandit Rocket,Black Cat,Rockets,6 rockets,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Texas Bandit Rocket Black Cat ARBC484 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/texas-bandit-rocket/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
junior-pyro-assortment,Junior Pyro,Black Cat,Assortments,ATJP-12,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Junior Pyro Black Cat ATJP-12 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/junior-pyro/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
kids-pack-black-cat,Kids Pack,Black Cat,Assortments,ATKP-1,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Kids Pack Black Cat ATKP-1 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/kids-pack/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
m150-red-12-pack,M-150 Red Salute,Black Cat,Firecrackers,12 firecrackers,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: M-150 Red Salute Black Cat FCBC117 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/m-150-red-salute/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
m150-red-silver-36-pack,M-150 Red/Silver Salute,Black Cat,Firecrackers,36 firecrackers,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: M-150 Red/Silver Salute Black Cat FCBC114 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/m-150-red-silver-salute-assorted/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
neon-camo-smoke-4-pack,Neon Camo Smoke,Black Cat,Smoke,4 smoke tubes,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Neon Camo Smoke Black Cat SMBC725 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/neon-camo-smoke/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
packin-purple,Packin' Purple,Black Cat,Fountains,FNBC2199,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,2026-09-25: Black Cat Packin Purple fountain BC2199 demo,https://www.wincofireworks.com/product/packin-purple/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Candidato Den Fireworks por nombre y marca; variante exacta y reproducción todavía no aprobadas.,https://www.youtube.com/watch?v=iEWLBwBQITg
party-animal-assortment,Party Animal,Black Cat,Assortments,ATBCPA,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Party Animal Black Cat ATBCPA fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/party-animal/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-party-pack-5,Party Pack #5,Black Cat,Assortments,ATGKPP5,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Party Pack #5 Black Cat ATGKPP5 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/party-pack-5/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-party-pack-5-safe-sane,Party Pack #5 Safe and Sane,Black Cat,Assortments,Safe and sane assortment,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Party Pack #5 Safe and Sane Black Cat ATGKPP5S fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/party-pack-5-safe-and-sane/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-party-pack-6,Party Pack #6,Black Cat,Assortments,ATBBPP6,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Party Pack #6 Black Cat ATBBPP6 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/party-pack-6/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
party-poppers-6-pack,Party Poppers,Black Cat,Novelties,6 party poppers,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Party Poppers Black Cat NVBC341A fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/party-popper-2/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
doggie-doo-doo,Doggie Doo Doo,Unconfirmed,Novelties,NVJP-345,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Doggie Doo Doo  NVJP-345 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/doggie-doo-doo/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
pride-and-honor-6,Pride and Honor #6,Black Cat,Assortments,Retail item; exact variant must be matched,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Pride and Honor #6 Black Cat  fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/black-cat-pride-and-honor-6/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
princess-power-sword,Princess Power Sword,Unconfirmed,Fountains,Pink sword fountain,Búsqueda adicional 2026-09-25 y contraste con catálogo.,2026-09-25: Princess Power Sword fireworks fountain,https://www.wincofireworks.com/product/princess-sword/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Candidato HH-TPF8022; marca y equivalencia con la unidad Square aún no confirmadas.,https://www.youtube.com/watch?v=Uo5Yp3exVNs | https://www.youtube.com/watch?v=lpHKVawSCKA
pyro-city-safe-sane,Pyro City Safe and Sane,Black Cat,Assortments,Safe and sane assortment,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Pyro City Safe and Sane Black Cat ATPCS-2 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/pyro-city-safe-and-sane/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
pyro-city-assortment,Pyro City,Unconfirmed,Assortments,ATPC-2,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Pyro City  ATPC-2 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/pyro-city/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
pyro-pack,Pyro Pack,Black Cat,Assortments,ATPP-12,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Pyro Pack Black Cat ATPP-12 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/pyro-pack/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
the-beast-black-cat,The Beast,Black Cat,Assortments,ATBCBST,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: The Beast Black Cat ATBCBST fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/the-beast/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
victory-sword,Victory Sword,Unconfirmed,Fountains,FNPK8022,Búsqueda adicional 2026-09-25 y contraste con catálogo.,2026-09-25: Victory Sword fireworks fountain,https://www.wincofireworks.com/product/victory-sword/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Candidato Winco FNPK8022 / Legend; falta vincular el código al producto sin marca confirmada.,https://www.youtube.com/watch?v=zRPX6D9Sspg | https://www.youtube.com/watch?v=TP_CVBCc4-U
whistling-chaser-8-pack,Whistling Chaser,Unconfirmed,Spinners,8-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Whistling Chaser  SP0238A fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/whistling-chaser/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
black-cat-morning-glory-36-inch,36-inch Morning Glory,Black Cat,Sparklers,36-inch sparklers · 6-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: 36-inch Morning Glory Black Cat SKBC313-24 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/36-morning-glory/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
excellent-bag,Excellent Bag,Black Cat,Assortments,ATBC032,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Excellent Bag Black Cat ATBC032 fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://www.wincofireworks.com/product/excellent-bag/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
cowboy-rockets-9-pack,Cowboy Rocket,Black Cat,Rockets,9 rockets,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""715244004867"" fireworks",https://www.wincofireworks.com/product/cowboy-rocket/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
stealth-bomber-2-pack,Stealth Bomber,Black Cat,Spinners,2-pack,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""715244009312"" fireworks",https://www.wincofireworks.com/product/stealth-bomber/ | https://www.wincofireworks.com/wp-content/uploads/2022/03/UPC-Excel-List_3.25.2022_r2.pdf,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
8-oz-rockets-cutting-edge,8 oz Rockets,Cutting Edge,Rockets,12 rockets,Búsqueda adicional 2026-09-25 y contraste con catálogo.,"Histórica: ""8145270170700"" fireworks | 2026-09-25: Cutting Edge 8 oz Rockets 12 fireworks",https://shop.intergalacticfireworks.com/8-oz-rocket.html,Resultados Sky Painter/otras marcas; no confirman Cutting Edge 12 cohetes.,https://www.youtube.com/watch?v=GBXQl1JYJIQ | https://www.youtube.com/watch?v=h6aDdrQO4AE
mini-artillery-12-pack,1-inch Mini Artillery Shells,Cutting Edge,Artillery Shells,1-inch shells · 12-pack,Búsqueda adicional 2026-09-25; candidatos revisados por identidad.,"Histórica: ""8145270161111"" fireworks | 2026-09-25: Cutting Edge Mini Artillery 12 pack 1 inch shells demo",https://thefireworkssuperstore.com/shop/1in-mini-artillery-shells-12-pack,Los resultados P8010 son Winda; el comparativo de cuatro marcas no confirmó la presentación exacta Cutting Edge.,https://www.youtube.com/watch?v=uG2UYvfIbo8 | https://www.youtube.com/watch?v=nI_XUu-b_QY
black-cat-2000-roll,Black Cat 2000 Roll,Black Cat,Firecrackers,2000-count roll,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: Black Cat 2000 Roll Black Cat  fireworks demo; evidencia: Product/model and simpler name/brand YouTube queries checked; no exact, sufficiently supported demonstration was approved. Optional field intentionally empty.",https://bigdaddyksfireworksoutlet.com/product/black-cat-2000-roll/ | https://www.wincofireworks.com/product/black-cat-2000-roll/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
world-class-saturn-25,25 Shot Saturn Missile,World-Class,Missiles,25 shots · Plastic base,Evidencia histórica preservada (revisión 2026-09-24); no búsqueda nueva individual.,"Histórica: ""805253354814"" fireworks",https://bigdaddyksfireworksoutlet.com/product/25-shot-saturn-missile-plastic/,Sin demostración exacta aprobada en la revisión histórica por nombre/marca/modelo. No se volvió a abrir un candidato en esta iteración.,
